"id","ASN","price","status","stitle","cate","image","Product Dimensions","Batteries required","Item model number","Date First Available","extraImages","Item Weight","Is assembly required","Included components","Customer Reviews","Best Sellers Rank","Package Dimensions","Primary material","Frame finish","Footboard upholstery","Shipping Weight","Manufacturer","Assembly Required","Batteries Required?","Manufacturer recommended age","Educational Objective(s)","Mfg Recommended age","Fabric Type","Care instructions","Number of pieces","Brand","Model Number","Color","Product Dimensions:","Date First Available:","Manufacturer:","ASIN:","Item model number:","","Item volume","International Warranty: If purchased from outside the UAE, manufacturer warranty may not apply. Click Here [PDF 195 KB]","Best Sellers Rank:","Camera Cases","Batteries","Manufacturer reference","Manufacturer Part Number","Mobile Phone Screen Protectors","USB Cables","Other display features","Form factor","Whats in the box","Package Dimensions:","Language:","Batteries Included?","Remote Control Included?","Is Discontinued By Manufacturer:","Department:","Action Cameras & Accessories","Customer reviews:","Size","Style","Season","Sport","Department","Is Discontinued By Manufacturer","Number of Puzzle Pieces","Hand Tools","Height","Length","Weight","Width","Number of Items","Standing screen display size","Are Batteries Included","Number of Game Players","Material Care Instructions","Material","Screwdrivers","Model number","Target gender","Our Recommended age","Number of Pieces","Material Type(s)","Long Drill Bits","In-Ear Headphones","Model","Computer Accessories","Manufacturer's Suggested Maximum Weight","material_composition","Knee Braces","Boring Drill Bits","Item diameter","Material Type","Included Components","Frame Material","Shape","Lens Material","Outer Material","Material Composition","Mobile Phone Basic Cases","Capacity","Item Shape","Series","Voltage","Camera & Camcorder Rain Covers","Lightning Cables","Automotive Diagnostic, Test & Measuring Tools","Measuring & Layout","Camera Lens Filter Sets","Warranty description","Open-End Wrenches","Drill Bits","Release date","Drive Sockets","Camera & Photo Accessories","Units","Dishwasher safe","Is portable","Wrench Sets","Pipe Wrenches","Shop Knives","Batteries:","Mobile Phone Accessories","Format","Electrical Power Accessories","Electrical Equipment","Chisels","Item Model Number","Pliers & Pincers","Nintendo Switch Games","Jobber Drill Bits","Wearable Technology","Power Tool Accessories","Dishwasher safe?","Hole Saws","Hammers","Auto Shutoff","Special Features","desc","Camcorder Cases","Brad-Point Drill Bits","number_of_channels","Mobile Phone Mounts & Stands","Telephone & VoIP Accessories","Cycling Accessories","Hardware","Safety & Security","Industrial Drill Bits","Combination Wrenches","HDMI Cables","Desk Accessories & Storage Products","Electronics Accessories & Supplies","Flashlight Lanterns","Display Type","Photographic Lighting & Studio Equipment","PlayStation 4 Games","Twist Drill Bits","Manufacturer reference:","Other camera features","Resistance temperature","Screwdriver Sets","Spanners & Wrenches","Display maximum weight recommendation","Jig Saw Blades","Fill material","Scent","Import designation","Wood Chisels","Mobile Phone OTG Adapters","Complete Tripod Units","Bookshelf Photo Albums","Special features","Additional product features","Tape Measures","Features","Strippers & Crimpers","Electrical Tools & Testers","Maximum weight recommendation","Quantity","League","Team","Material free","Bottle type","Lithium Battery Packaging","Camera Case & Bag Accessories","Tool Organizers","Tool Sets","Surveillance & Security Cameras","Home Security & Surveillance Systems","Folding","tech_spec_battery_description_toys","Camera Lens Sky & UV Filters","Film Cameras","Projector Accessories","Monopods","Wattage","Adjustable Wrenches","Exterior","OEM Part Number","Cover Included","Binoculars","Radio Control Suitability","Skill Level","Power Tool Staples","Cultivators & Tillers","Home Storage & Organization","Language::","Camera Lens Polarizing Filters"
"940","B07B2TBWJ4","39.00","1","Asobu Vacuum Insulated Bottle, 200 ml, Orange, V606","Kitchen|Water Coolers, Filters & Cartridges","https://images-na.ssl-images-amazon.com/images/I/71y2s42Ev6L._AC_SL1500_.jpg","5.99 x 5.99 x 16.51 cm; 170 Grams","No","V606 ORANGE","26 February 2019","https://images-na.ssl-images-amazon.com/images/I/91nKw8vXlzL._AC_SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/71rYyj5oicL._AC_SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/81yPWehdmGL._AC_SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/81oK7PUeXGL._AC_SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/810uBlxC1wL._AC_SL1500_.jpg","0.17 Kilograms","No","Bottle","/** Fix for UDP-1061. Average customer reviews has a small extra line on hover* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40*/.noUnderline a:hover {text-decoration: none;}4.1 out of 5 stars20 ratingsP.when('A', 'ready').execute(function(A) {A.declarative('acrLink-click-metrics', 'click', { ""allowLinkDefault"" : true }, function(event){if(window.ue) {ue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);}});});P.when('A', 'cf').execute(function(A) {A.declarative('acrStarsLink-click-metrics', 'click', { ""allowLinkDefault"" : true },  function(event){if(window.ue) {ue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);}});});4.1 out of 5 stars","#46,938 in Kitchen (See Top 100 in Kitchen)#285 in Water Coolers, Filters & Cartridges",,,,,,,,,,,,,"Dishwasher Safe","1",,,,,,,,,,"210 Milliliters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1 year manufacturer",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"941","B07P67NM7B","","1","Raj MBDR9 Stainless Steel Mini Snack Holder Serving Basket, Silver-MBDR9,Silver","Kitchen|Tools & Gadgets|Colanders & Food Strainers|Food Strainers","https://images-na.ssl-images-amazon.com/images/I/914jm215VkL._AC_SL1500_.jpg","8 x 13.6 x 13 cm; 40 Grams",,"2724337515898","1 March 2019","","40 Grams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"942","B0021UG7MM","","1","RIVACASE 7117-S (PS) Digital Camera Case - Black","Electronics|Camera & Photo|Accessories|Cases & Bags|Camera Cases","https://images-na.ssl-images-amazon.com/images/I/51HNr61PY7L._AC_.jpg",,,,,"https://images-na.ssl-images-amazon.com/images/I/61b5Xts1RCL._AC_SL1050_.jpg,https://images-na.ssl-images-amazon.com/images/I/61NxsMbndwL._AC_SL1050_.jpg,https://images-na.ssl-images-amazon.com/images/I/61n10xO6wVL._AC_SL1050_.jpg,https://images-na.ssl-images-amazon.com/images/I/61wqOH-vAQL._AC_SL1050_.jpg,https://images-na.ssl-images-amazon.com/images/I/61BMha8aIuL._AC_SL1050_.jpg,https://images-na.ssl-images-amazon.com/images/I/61qlb1GnnIL._AC_SL1050_.jpg,https://images-na.ssl-images-amazon.com/images/I/61Uw0-q-BuL._AC_SL1050_.jpg,https://images-na.ssl-images-amazon.com/images/I/61W-bz59KEL._AC_SL1050_.jpg",,,,,,,,,,,,,,,,,,,,,,,"11.3 x 14.5 x 12.1 cm; 201 Grams","28 January 2019","Rivacase","B0021UG7MM","RIVA-7117S-BLACK-PS","",,"International Warranty: If purchased from outside the UAE, manufacturer warranty may not apply. Click Here [PDF 195 KB]",,,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"943","B07CJDCN8Z","42.48","1","Bosphorus Liquid Soap Dispenser, Black/White, 1003A","Home|Bath|Bathroom Accessories|Holders, Dispensers & Organizers|Dispensers","https://images-na.ssl-images-amazon.com/images/I/71wygemR8dL._AC_SL1500_.jpg","21 x 6 x 6 cm; 280 Grams","No","1003A","26 August 2019","","0.28 Kilograms","No",,,,,,,,,,,,,,,"Not Applicable",,,,,,,,,,,,"300 Milliliters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"944","B07P6GVFY4","","1","Lenyes LC768 for Multi - Cables","Computers|Accessories|Cables|Lightning Cables","https://images-na.ssl-images-amazon.com/images/I/41y2R9L1meL._AC_SL1100_.jpg",,,,,"",,,,,,,,,,,,,,,,,,,,,,,"2.2 x 13.8 x 6.6 cm; 46 Grams","25 February 2019","Lenyes","B07P6GVFY4","2724603423131","",,"International Warranty: If purchased from outside the UAE, manufacturer warranty may not apply. Click Here [PDF 195 KB]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"945","B0044LXPAI","19.00","1","Aquapac Waterproof Case Medium For Ipad Mini - Clear","Computers|Accessories|Tablet Accessories|Bags, Cases & Sleeves|Cases","https://images-na.ssl-images-amazon.com/images/I/61%2BeYtg8%2BQL._AC_SL1000_.jpg","28 x 17 x 2 cm; 59 Grams",,"658","21 February 2019","https://images-na.ssl-images-amazon.com/images/I/51hSiUyZseL._AC_SL1000_.jpg,https://images-na.ssl-images-amazon.com/images/I/61%2BCnL%2BF24L._AC_SL1000_.jpg","59 g",,,"/** Fix for UDP-1061. Average customer reviews has a small extra line on hover* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40*/.noUnderline a:hover {text-decoration: none;}3.1 out of 5 stars3 ratingsP.when('A', 'ready').execute(function(A) {A.declarative('acrLink-click-metrics', 'click', { ""allowLinkDefault"" : true }, function(event){if(window.ue) {ue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);}});});P.when('A', 'cf').execute(function(A) {A.declarative('acrStarsLink-click-metrics', 'click', { ""allowLinkDefault"" : true },  function(event){if(window.ue) {ue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);}});});3.1 out of 5 stars","#12,592 in Computers (See Top 100 in Computers)#1,256 in Tablet Cases",,,,,,"AQUAPAC",,,,,,,,,"Aquapac",,"Clear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.5 Inches","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"946","B0044LXPAI","19.00","1","Aquapac Waterproof Case Medium For Ipad Mini - Clear","Computers|Accessories|Tablet Accessories|Bags, Cases & Sleeves|Cases","https://images-na.ssl-images-amazon.com/images/I/61%2BeYtg8%2BQL._AC_SL1000_.jpg","28 x 17 x 2 cm; 59 Grams",,"658","21 February 2019","https://images-na.ssl-images-amazon.com/images/I/51hSiUyZseL._AC_SL1000_.jpg,https://images-na.ssl-images-amazon.com/images/I/61%2BCnL%2BF24L._AC_SL1000_.jpg","59 g",,,"/** Fix for UDP-1061. Average customer reviews has a small extra line on hover* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40*/.noUnderline a:hover {text-decoration: none;}3.1 out of 5 stars3 ratingsP.when('A', 'ready').execute(function(A) {A.declarative('acrLink-click-metrics', 'click', { ""allowLinkDefault"" : true }, function(event){if(window.ue) {ue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);}});});P.when('A', 'cf').execute(function(A) {A.declarative('acrStarsLink-click-metrics', 'click', { ""allowLinkDefault"" : true },  function(event){if(window.ue) {ue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);}});});3.1 out of 5 stars","#12,592 in Computers (See Top 100 in Computers)#1,256 in Tablet Cases",,,,,,"AQUAPAC",,,,,,,,,"Aquapac",,"Clear",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10.5 Inches","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"947","B0797BR2TB","","1","Bosphorus Soap Dish, Black/White, BA1518C","Home|Bath|Bathroom Accessories|Holders, Dispensers & Organizers|Soap Dishes","https://images-na.ssl-images-amazon.com/images/I/61xOCOw5NnL._AC_SL1500_.jpg","13 x 9 x 3 cm; 180 Grams","No","BA1518C","25 August 2019","https://images-na.ssl-images-amazon.com/images/I/71ztJSc8%2BnL._AC_SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/81qSu11iKVL._AC_SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/61g4ATG4z6L._AC_SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/61PPH3PM0hL._AC_SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/61g6A0OYQHL._AC_SL1500_.jpg","0.18 Kilograms","No",,,,,,,,,,,,,,,"Not Applicable",,,,,,,,,,,,"10 Milliliters",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"948","B01LZ47A20","","1","Cellularline Iphone 7 Mobile Cover - Clear","Electronics|Mobile Phones & Communication|Accessories|Cases & Covers|Basic Cases","https://images-na.ssl-images-amazon.com/images/I/3137YsTTZUL._AC_.jpg",,,,,"https://images-na.ssl-images-amazon.com/images/I/3137YsTTZUL._AC_.jpg,https://images-na.ssl-images-amazon.com/images/I/31UNQqpLDfL._AC_.jpg,https://images-na.ssl-images-amazon.com/images/I/217DieWYG0L._AC_.jpg,https://images-na.ssl-images-amazon.com/images/I/315jr4oXwQL._AC_.jpg,https://images-na.ssl-images-amazon.com/images/I/21xQv809yFL._AC_.jpg,https://images-na.ssl-images-amazon.com/images/I/31fb0MudH-L._AC_.jpg,https://images-na.ssl-images-amazon.com/images/I/3137YsTTZUL._AC_.jpg,https://images-na.ssl-images-amazon.com/images/I/31UNQqpLDfL._AC_.jpg",,,,,,,,,,,,,,,,,,,,,,,"10 x 1.5 x 17.5 cm; 70 Grams","28 January 2019","Cellularline","B01LZ47A20","CLEARDUOIPH747T",,,"International Warranty: If purchased from outside the UAE, manufacturer warranty may not apply. Click Here [PDF 195 KB]","See Top 100 in Mobile Phones & Communication Products",,,,,,,,,,,,,,"No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"949","B07P7LV3BQ","","1","Harmony Orange Squeezer (Multi Color)","Kitchen|Tools & Gadgets|Tool & Gadget Sets","https://images-na.ssl-images-amazon.com/images/I/71ndmVQRGKL._AC_SL1500_.jpg","2.1 x 4.6 x 3.1 cm; 14 Grams",,"2724623304007","25 February 2019","https://images-na.ssl-images-amazon.com/images/I/61pxD-ScGxL._AC_SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/81F1l23w9oL._AC_SL1500_.jpg",,,,,"#64,437 in Kitchen (See Top 100 in Kitchen)#1,757 in Kitchen Tools & Gadget Sets#2,085 in Spoons, Spatulas & Turners",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"950","B07PBKWLBP","","1","Servewell Antique Urmi Small Bowl - White","Kitchen|Tableware|Dishware & Serving Pieces|Dinnerware|Bowls|Snack & Dip Bowls","https://images-na.ssl-images-amazon.com/images/I/71bdE87KYKL._AC_SL1500_.jpg","4.4 x 8.6 x 6.6 cm; 62 Grams",,"2724623288963","1 March 2019","https://images-na.ssl-images-amazon.com/images/I/71c7BYMCN5L._AC_SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/71hOPqpYbCL._AC_SL1500_.jpg","62 Grams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"951","B014HJ8XJE","","1","Pushy Vinyl Decorative Wall Sticker - Black","Tools & Home Improvement|Painting Supplies, Tools & Wall Treatments|Wall Stickers & Murals","https://images-na.ssl-images-amazon.com/images/I/51R-gqFJMHL._AC_SL1292_.jpg","22 x 48 x 1 cm; 20 Grams","No","YSS-45","9 April 2019","",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"952","B07QCCJVX9","","1","Bosphorus Hangable Balcony And Garden Ornament, Squirrel Shaped","Home|Home Décor|Decorative Accessories|Ornaments","https://images-na.ssl-images-amazon.com/images/I/71FM7BYBbBL._AC_SL1500_.jpg","8.5 x 12 x 1 cm; 240 Grams","No","956170C","25 August 2019","https://images-na.ssl-images-amazon.com/images/I/71-htNR33yL._AC_SL1500_.jpg,https://images-na.ssl-images-amazon.com/images/I/71zERHcdNEL._AC_SL1500_.jpg","0.24 Kilograms","No","No Included Components",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"953","B00JP0WPEK","11.98","1","19231 - Xl Luftballon Einfarbig 90 Cm Hellblau","Toys|Play Figures & Vehicles","https://images-na.ssl-images-amazon.com/images/I/51diyM28E9L._AC_SL1200_.jpg",,,"19231","21 April 2019","",,,,,,,,,,,,"No","No","3 years and up",,"36 months - 30 years",,,,,,"Light Blue",,,,,,,,,,,,,,,,,,,,,"No","No",,,,,,,,,,,"1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"954","B07QYNX3X2","","1","ZAD HOME Tumbler, Eco-Friendly, Stainless Steel Double Wall, Leak Proof Lid, Coffee Tumbler","Kitchen|Tableware|Glassware & Drinkware|Cups, Mugs & Saucers|Coffee Cups & Mugs","https://images-na.ssl-images-amazon.com/images/I/31E5MArAOqL._AC_.jpg",,"No","ZH-Mug5-b","22 April 2019","",,"No","Tumbler","/** Fix for UDP-1061. Average customer reviews has a small extra line on hover* https://omni-grok.amazon.com/xref/src/appgroup/websiteTemplates/retail/SoftlinesDetailPageAssets/udp-intl-lock/src/legacy.css?indexName=WebsiteTemplates#40*/.noUnderline a:hover {text-decoration: none;}1.0 out of 5 stars1 ratingP.when('A', 'ready').execute(function(A) {A.declarative('acrLink-click-metrics', 'click', { ""allowLinkDefault"" : true }, function(event){if(window.ue) {ue.count(""acrLinkClickCount"", (ue.count(""acrLinkClickCount"") || 0) + 1);}});});P.when('A', 'cf').execute(function(A) {A.declarative('acrStarsLink-click-metrics', 'click', { ""allowLinkDefault"" : true },  function(event){if(window.ue) {ue.count(""acrStarsLinkWithPopoverClickCount"", (ue.count(""acrStarsLinkWithPopoverClickCount"") || 0) + 1);}});});1.0 out of 5 stars","#47,899 in Kitchen (See Top 100 in Kitchen)#1,210 in Coffee Cups & Mugs","19.2 x 8.6 x 8 cm; 310 Grams",,,,,,,,,,,,"Dishwasher Safe","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"955","B07P67NDCH","12.60","1","Sticky Brick Tape Construction, Building Sets & Blocks  6 Years & Above,Multi color","Toys|Games & Game Accessories|Board Games","https://images-na.ssl-images-amazon.com/images/I/41uOsiy4eKL._AC_.jpg","2 x 12.4 x 10.8 cm; 620 Grams",,"2724482600500","1 March 2019","https://images-na.ssl-images-amazon.com/images/I/51YKtybQaDL._AC_.jpg,https://images-na.ssl-images-amazon.com/images/I/41uOsiy4eKL._AC_.jpg,https://images-na.ssl-images-amazon.com/images/I/41uOsiy4eKL._AC_.jpg",,,,,,,,,,,,,,"6 years and up",,"6 year and up",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"956","B07MGBP27Q","47.25","1","RC CARS SPARTS HPI Shock Parts Rod End Set Savage","","https://images-na.ssl-images-amazon.com/images/I/41-v%2BxNqLkL._AC_.jpg",,,,"12 January 2019","",,,,,,"15.4 x 13.8 x 1.8 cm; 20 Grams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"957","B07P7LZ2P6","","1","Mcdavid Elite Engineered Elastic Knee Sleeve - 5133R-Bk, Size Large","Health|Medical Supplies & Equipment|Braces, Splints & Slings|Leg & Foot Supports|Knee Braces","https://images-na.ssl-images-amazon.com/images/I/81H1zjAXnTL._AC_SL1500_.jpg","4.8 x 21.6 x 14.8 cm; 420 Grams",,"2724636938176","25 February 2019","https://images-na.ssl-images-amazon.com/images/I/81dTX%2Bfsj6L._AC_SL1500_.jpg",,,,,,,,,,,"McDavid",,,,,,,,,"McDavid",,"Black",,,,,,,,,,,,,,,,,,,,,,,,,,,"L",,,"Knee Pads",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"958","B07MJXXGPF","125.00","1","RC CARS ACCESSORIES HPI SAVAGE XL 5.9 Warlock Wheel Matte 83X56mm HPI3193","","https://images-na.ssl-images-amazon.com/images/I/31V4I5IUxcL._AC_.jpg",,,,"12 January 2019","",,,,,,"19.2 x 9.2 x 6 cm; 140 Grams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"959","B07P7LYBQ8","","1","Macmerise Grunge Web Sublime Case For Samsung J7 Prime - Multi Color","Electronics|Mobile Phones & Communication|Accessories","https://images-na.ssl-images-amazon.com/images/I/616Tak2mtJL._AC_SL1288_.jpg","2 x 21 x 11 cm; 200 Grams",,"2724639908053","13 January 2019","","200 g",,,,"#39,779 in Mobile Phones & Communication Products (See Top 100 in Mobile Phones & Communication Products)#46,438 in Mobile Phone Accessories",,,,,,,,,,,,,,,,,"Multi Color",,,,,,,,,,,,,,,,"Wireless",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"960","B07P6H562Y","","1","Stylizedd Samsung Galaxy S8 Plus Slim Snap Case Cover Matte Finish - Got Night'S Watcher Oath - Black","Electronics|Mobile Phones & Communication|Accessories|Cases & Covers|Basic Cases","https://images-na.ssl-images-amazon.com/images/I/514QSUaRpaL._AC_.jpg","1.8 x 18.4 x 10.6 cm; 46 Grams",,"2724446767942","25 February 2019","https://images-na.ssl-images-amazon.com/images/I/415YD450XeL._AC_.jpg,https://images-na.ssl-images-amazon.com/images/I/81nuqoLExTL._AC_SL1500_.jpg","46 g",,,,"#51,596 in Mobile Phones & Communication Products (See Top 100 in Mobile Phones & Communication Products)#14,597 in Mobile Phone Basic Cases",,,,,,,,,,,,,,,,,"Black",,,,,,,,,,,,,,,,"Wireless",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"961","B004X5HC40","9.00","1","Procos The Pirates Plastic Diecut Flag Banner","Toys|Party Supplies|Party Tableware","https://images-na.ssl-images-amazon.com/images/I/31B0IqPedhL._AC_.jpg","45 x 40 x 45 cm; 40 Grams",,"8524","10 July 2019","",,,,,,,,,,,,"No","No","18 months - 10 years",,"18 months - 10 years",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
